Date,Count
3/26/2014,724
3/27/2014,713
3/28/2014,781
3/29/2014,767
3/30/2014,733
3/31/2014,733
4/1/2014,865
4/2/2014,716
4/3/2014,706
4/4/2014,801
4/5/2014,739
4/6/2014,699
4/7/2014,754
4/8/2014,741
4/9/2014,770
4/10/2014,791
4/11/2014,771
4/12/2014,858
4/13/2014,660
4/14/2014,674
4/15/2014,740
4/16/2014,764
4/17/2014,824
4/18/2014,773
4/19/2014,734
4/20/2014,675
4/21/2014,719
4/22/2014,722
4/23/2014,730
4/24/2014,759
4/25/2014,838
4/26/2014,751
4/27/2014,660
4/28/2014,716
4/29/2014,779
4/30/2014,792
5/1/2014,819
5/2/2014,852
5/3/2014,734
5/4/2014,707
5/5/2014,831
5/6/2014,815
5/7/2014,762
5/8/2014,763
5/9/2014,849
5/10/2014,795
5/11/2014,713
5/12/2014,805
5/13/2014,805
5/14/2014,769
5/15/2014,744
5/16/2014,826
5/17/2014,782
5/18/2014,842
5/19/2014,784
5/20/2014,761
5/21/2014,826
5/22/2014,783
5/23/2014,795
5/24/2014,743
5/25/2014,805
5/26/2014,770
5/27/2014,756
5/28/2014,791
5/29/2014,764
5/30/2014,812
5/31/2014,831
6/1/2014,948
6/2/2014,858
6/3/2014,888
6/4/2014,767
6/5/2014,793
6/6/2014,843
6/7/2014,842
6/8/2014,753
6/9/2014,814
6/10/2014,662
6/11/2014,766
6/12/2014,811
6/13/2014,916
6/14/2014,821
6/15/2014,857
6/16/2014,865
6/17/2014,879
6/18/2014,762
6/19/2014,806
6/20/2014,872
6/21/2014,836
6/22/2014,853
6/23/2014,821
6/24/2014,853
6/25/2014,839
6/26/2014,808
6/27/2014,877
6/28/2014,830
6/29/2014,884
6/30/2014,790
7/1/2014,953
7/2/2014,814
7/3/2014,878
7/4/2014,832
7/5/2014,873
7/6/2014,850
7/7/2014,892
7/8/2014,809
7/9/2014,842
7/10/2014,809
7/11/2014,922
7/12/2014,787
7/13/2014,822
7/14/2014,795
7/15/2014,807
7/16/2014,832
7/17/2014,795
7/18/2014,865
7/19/2014,844
7/20/2014,814
7/21/2014,798
7/22/2014,825
7/23/2014,849
7/24/2014,841
7/25/2014,907
7/26/2014,861
7/27/2014,869
7/28/2014,866
7/29/2014,786
7/30/2014,779
7/31/2014,843
8/1/2014,1019
8/2/2014,873
8/3/2014,824
8/4/2014,769
8/5/2014,815
8/6/2014,793
8/7/2014,829
8/8/2014,807
8/9/2014,869
8/10/2014,829
8/11/2014,864
8/12/2014,744
8/13/2014,841
8/14/2014,782
8/15/2014,835
8/16/2014,826
8/17/2014,842
8/18/2014,807
8/19/2014,760
8/20/2014,824
8/21/2014,757
8/22/2014,800
8/23/2014,801
8/24/2014,832
8/25/2014,768
8/26/2014,794
8/27/2014,772
8/28/2014,720
8/29/2014,863
8/30/2014,837
8/31/2014,803
9/1/2014,953
9/2/2014,783
9/3/2014,710
9/4/2014,735
9/5/2014,816
9/6/2014,799
9/7/2014,786
9/8/2014,664
9/9/2014,778
9/10/2014,690
9/11/2014,730
9/12/2014,696
9/13/2014,665
9/14/2014,734
9/15/2014,716
9/16/2014,730
9/17/2014,780
9/18/2014,845
9/19/2014,857
9/20/2014,827
9/21/2014,766
9/22/2014,753
9/23/2014,825
9/24/2014,817
9/25/2014,738
9/26/2014,850
9/27/2014,855
9/28/2014,790
9/29/2014,782
9/30/2014,758
10/1/2014,898
10/2/2014,778
10/3/2014,756
10/4/2014,702
10/5/2014,685
10/6/2014,697
10/7/2014,750
10/8/2014,726
10/9/2014,665
10/10/2014,718
10/11/2014,760
10/12/2014,662
10/13/2014,690
10/14/2014,709
10/15/2014,743
10/16/2014,722
10/17/2014,839
10/18/2014,812
10/19/2014,704
10/20/2014,734
10/21/2014,759
10/22/2014,711
10/23/2014,752
10/24/2014,858
10/25/2014,780
10/26/2014,714
10/27/2014,789
10/28/2014,750
10/29/2014,779
10/30/2014,753
10/31/2014,800
11/1/2014,811
11/2/2014,701
11/3/2014,751
11/4/2014,761
11/5/2014,728
11/6/2014,657
